자치구 기준일,종로구 전체,종로구 추가,중구 전체,중구 추가,용산구 전체,용산구 추가,성동구 전체,성동구 추가,광진구 전체,광진구 추가,동대문구 전체,동대문구 추가,중랑구 전체,중랑구 추가,성북구 전체,성북구 추가,강북구 전체,강북구 추가,도봉구 전체,도봉구 추가,노원구 전체,노원구 추가,은평구 전체,은평구 추가,서대문구 전체,서대문구 추가,마포구 전체,마포구 추가,양천구 전체,양천구 추가,강서구 전체,강서구 추가,구로구 전체,구로구 추가,금천구 전체,금천구 추가,영등포구 전체,영등포구 추가,동작구 전체,동작구 추가,관악구 전체,관악구 추가,서초구 전체,서추구 추가,강남구 전체,강남구 추가,송파구 전체,송파구 추가,강동구 전체,강동구 추가,기타 전체,기타 추가,수집일
2021.02.03.00,520,2,359,3,536,4,597,8,593,5,897,15,1018,9,1035,7,637,11,750,6,1039,5,986,8,667,4,860,4,950,1,1561,3,813,5,403,3,891,9,1020,8,1203,11,974,3,1175,8,1377,13,777,10,2949,25,
2021.02.02.00,518,3,356,0,532,6,589,3,588,6,882,14,1009,5,1028,7,626,7,744,3,1034,4,978,1,663,6,856,7,949,0,1558,4,808,4,400,2,882,4,1012,3,1192,5,971,2,1167,6,1364,4,767,6,2924,14,
2021.02.01.00,515,0,356,1,526,4,586,2,582,1,868,21,1004,3,1021,5,619,2,741,1,1030,8,977,0,657,0,849,3,949,2,1554,4,804,2,398,4,878,5,1009,2,1187,4,969,6,1161,7,1360,4,761,2,2910,16,
2021.01.31.00,515,1,355,1,522,5,584,2,581,0,847,5,1001,5,1016,6,617,1,740,7,1022,5,977,2,657,3,846,1,947,1,1550,3,802,5,394,0,873,4,1007,10,1183,4,963,3,1154,7,1356,5,759,7,2894,7,
2021.01.30.00,514,1,354,3,517,4,582,13,581,2,842,6,996,9,1010,15,616,2,733,4,1017,10,975,5,654,1,845,1,946,4,1547,4,797,4,394,1,869,2,997,2,1179,9,960,2,1147,9,1351,4,752,7,2887,28,
2021.01.29.00,513,1,351,6,513,3,569,1,579,2,836,4,987,3,995,2,614,1,729,3,1007,4,970,2,653,4,844,3,942,5,1543,3,793,4,393,4,867,6,995,4,1170,7,958,2,1138,10,1347,11,745,2,2859,16,
2021.01.28.00,512,2,345,3,510,3,568,2,577,6,832,4,984,3,993,2,613,1,726,7,1003,2,968,8,649,1,841,4,937,2,1540,4,789,6,389,3,861,4,991,0,1163,7,956,4,1128,0,1336,4,743,4,2843,18,
2021.01.27.00,510,2,342,5,507,5,566,7,571,3,828,9,981,5,991,6,612,7,719,4,1001,8,960,4,648,4,837,3,935,3,1536,5,783,11,386,1,857,2,991,2,1156,6,952,4,1128,5,1332,6,739,2,2825,11,
2021.01.26.00,508,6,337,4,502,2,559,0,568,1,819,9,976,2,985,6,605,4,715,8,993,11,956,3,644,0,834,2,932,2,1531,3,772,3,385,0,855,4,989,5,1150,5,948,5,1123,4,1326,2,737,5,2814,5,
2021.01.25.00,502,4,333,5,500,2,559,1,567,3,810,7,974,2,979,9,601,5,707,0,982,4,953,5,644,2,832,4,930,1,1528,8,769,2,385,0,851,4,984,4,1145,10,943,4,1119,2,1324,1,732,7,2809,5,
2021.01.24.00,498,5,328,4,498,3,558,0,564,1,803,11,972,7,970,2,596,2,707,11,978,10,948,3,642,5,828,6,929,2,1520,7,767,5,385,0,847,5,980,1,1135,4,939,5,1117,13,1323,5,725,1,2804,14,
2021.01.23.00,493,1,324,3,495,2,558,7,563,4,792,3,965,11,968,3,594,3,696,2,968,3,945,5,637,4,822,7,927,7,1513,11,762,1,385,1,842,4,979,7,1131,5,934,4,1104,8,1318,9,724,7,2790,6,
2021.01.22.00,492,2,321,3,493,0,551,3,559,1,789,0,954,8,965,3,591,2,694,3,965,8,940,4,633,2,815,4,920,7,1502,4,761,2,384,2,838,6,972,7,1126,2,930,8,1096,11,1309,7,717,4,2784,9,
2021.01.21.00,490,3,318,1,493,4,548,10,558,3,789,4,946,4,962,1,589,1,691,3,957,12,936,5,631,4,811,6,913,15,1498,4,759,6,382,1,832,3,965,4,1124,1,922,3,1085,8,1302,3,713,3,2775,11,
2021.01.20.00,487,3,317,1,489,3,538,5,555,3,785,4,942,13,961,7,588,2,688,11,945,6,931,2,627,3,805,6,898,11,1494,8,753,4,381,0,829,6,961,2,1123,6,919,6,1077,8,1299,4,710,4,2764,17,
2021.01.19.00,484,1,316,4,486,4,533,1,552,2,781,6,929,5,954,4,586,4,677,4,939,1,929,2,624,4,799,2,887,9,1486,4,749,9,381,1,823,1,959,4,1117,2,913,1,1069,7,1295,10,706,3,2747,7,
2021.01.18.00,483,3,312,2,482,4,532,12,550,3,775,11,924,2,950,5,582,6,673,4,938,5,927,3,620,7,797,6,878,6,1482,3,740,2,380,5,822,5,955,5,1115,2,912,7,1062,5,1285,6,703,4,2740,6,
2021.01.17.00,480,4,310,2,478,2,520,5,547,3,764,13,922,5,945,7,576,2,669,1,933,8,924,11,613,5,791,1,872,11,1479,9,738,10,375,5,817,2,950,5,1113,7,905,4,1057,7,1279,5,699,1,2734,10,
2021.01.16.00,476,1,308,1,476,7,515,8,544,4,751,7,917,7,938,12,574,4,668,4,925,6,913,7,608,1,790,4,861,4,1470,5,728,3,370,2,815,3,945,9,1106,4,901,5,1050,7,1274,11,698,7,2724,21,
2021.01.15.00,475,2,307,1,469,5,507,2,540,6,744,9,910,7,926,1,570,3,664,6,919,4,906,6,607,3,786,8,857,2,1465,2,725,8,368,4,812,5,936,6,1102,4,896,1,1043,3,1263,5,691,10,2703,7,
2021.01.14.00,473,4,306,6,464,7,505,0,534,3,735,9,903,5,925,7,567,8,658,3,915,2,900,4,604,4,778,12,855,2,1463,7,717,3,364,2,807,6,930,4,1098,4,895,5,1040,6,1258,6,681,3,2696,16,
2021.01.13.00,469,1,300,4,457,1,505,4,531,3,726,6,898,6,918,8,559,4,655,9,913,10,896,5,600,1,766,5,853,7,1456,14,714,1,362,2,801,4,926,7,1094,6,890,1,1034,9,1252,12,678,4,2680,14,
2021.01.12.00,468,6,296,3,456,3,501,7,528,2,720,13,892,11,910,2,555,6,646,8,903,11,891,12,599,2,761,9,846,6,1442,3,713,8,360,0,797,1,919,7,1088,6,889,4,1025,9,1240,4,674,11,2666,13,
2021.01.11.00,462,4,293,0,453,2,494,4,526,5,707,13,881,6,908,2,549,2,638,6,892,8,879,8,597,6,752,3,840,6,1439,3,705,3,360,2,796,4,912,10,1082,2,885,2,1016,7,1236,10,663,7,2653,15,
2021.01.10.00,458,9,293,0,451,1,490,3,521,7,694,5,875,7,906,7,547,6,632,5,884,5,871,9,591,12,749,3,834,12,1436,3,702,8,358,1,792,9,902,7,1080,8,883,4,1009,9,1226,10,656,10,2638,26,
2021.01.09.00,449,4,293,0,450,2,487,1,514,6,689,7,868,4,899,6,541,8,627,6,879,2,862,12,579,7,746,9,822,12,1433,7,694,4,357,1,783,15,895,9,1072,9,879,7,1000,10,1216,15,646,4,2612,20,
2021.01.08.00,445,2,293,3,448,8,486,4,508,2,682,4,864,9,893,16,533,3,621,8,877,5,850,7,572,11,737,7,810,9,1426,9,690,9,356,4,768,10,886,4,1063,5,872,4,990,8,1201,16,642,9,2592,15,
2021.01.07.00,443,5,290,3,440,2,482,4,506,16,678,5,855,10,877,17,530,15,613,6,872,8,843,16,561,14,730,6,801,12,1417,14,681,8,352,6,758,8,882,4,1058,5,868,7,982,13,1185,7,633,10,2577,77,
2021.01.06.00,438,12,287,1,438,5,478,5,490,5,673,10,845,7,860,14,515,8,607,12,864,13,827,12,547,11,724,5,789,14,1403,21,673,19,346,3,750,8,878,9,1053,7,861,12,969,7,1178,21,623,1,2500,18,
2021.01.05.00,426,4,286,1,433,4,473,4,485,6,663,13,838,11,846,7,507,16,595,4,851,6,815,7,536,6,719,5,775,9,1382,4,654,9,343,7,742,11,869,8,1046,6,849,2,962,10,1157,11,622,11,2482,12,
2021.01.04.00,422,4,285,2,429,1,469,9,479,9,650,6,827,14,839,8,491,14,591,10,845,11,808,3,530,3,714,7,766,10,1378,15,645,9,336,5,731,14,861,10,1040,6,847,4,952,11,1146,8,611,8,2470,130,
2021.01.03.00,418,4,283,0,428,3,460,0,470,5,644,5,813,3,831,8,477,19,581,5,834,10,805,5,527,4,707,6,756,23,1363,9,636,8,331,4,717,8,851,6,1034,4,843,9,941,3,1138,12,603,12,2340,16,
2021.01.02.00,414,10,283,1,425,7,460,10,465,2,639,6,810,8,823,10,458,14,576,6,824,11,800,13,523,10,701,6,733,7,1354,13,628,3,327,1,709,15,845,36,1030,6,834,8,938,3,1126,8,591,10,2324,24,
2021.01.01.00,404,11,282,1,418,2,450,7,463,7,633,8,802,20,813,8,444,13,570,12,813,8,787,11,513,8,695,8,726,12,1341,7,625,7,326,6,694,15,809,17,1024,12,826,5,935,6,1118,14,581,5,2300,133,
2020.12.31.00,393,13,281,3,416,1,443,7,456,17,625,11,782,20,805,14,431,7,558,7,805,15,776,9,505,11,687,11,714,24,1334,12,618,15,320,11,679,10,792,15,1012,27,821,9,929,9,1104,17,576,7,2167,57,
2020.12.30.00,380,4,278,6,415,9,436,8,439,13,614,12,762,28,791,21,424,13,551,8,790,17,767,17,494,7,676,5,690,18,1322,16,603,13,309,14,669,9,777,18,985,25,812,17,920,15,1087,20,569,6,2110,49,
2020.12.29.00,376,10,272,5,406,2,428,2,426,4,602,6,734,36,770,14,411,10,543,7,773,15,750,10,487,5,671,9,672,14,1306,11,590,9,295,4,660,7,759,12,960,26,795,13,905,10,1067,17,563,3,2061,262,
2020.12.28.00,366,7,267,6,404,6,426,13,422,8,596,9,698,25,756,10,401,10,536,7,758,17,740,17,482,4,662,10,658,17,1295,8,581,8,291,10,653,5,747,10,934,7,782,11,895,20,1050,17,560,14,1799,25,
2020.12.27.00,359,12,261,7,398,5,413,9,414,5,587,12,673,16,746,12,391,6,529,12,741,8,723,9,478,2,652,15,641,18,1287,22,573,20,281,10,648,5,737,6,927,22,771,11,875,16,1033,23,546,5,1774,55,
2020.12.26.00,347,7,254,3,393,8,404,4,409,5,575,16,657,22,734,11,385,8,517,22,733,16,714,31,476,6,637,11,623,33,1265,34,553,40,271,12,643,19,731,12,905,16,760,11,859,10,1010,25,541,13,1719,35,
2020.12.25.00,340,9,251,5,385,14,400,3,404,13,559,8,635,8,723,14,377,7,495,5,717,8,683,18,470,7,626,21,590,15,1231,20,513,4,259,4,624,7,719,19,889,16,749,7,849,9,985,14,528,8,1684,305,
2020.12.24.00,331,9,246,4,371,9,397,6,391,13,551,12,627,14,709,10,370,9,490,11,709,11,665,14,463,9,605,24,575,12,1211,34,509,16,255,6,617,13,700,14,873,17,742,7,840,7,971,26,520,5,1379,36,
2020.12.23.00,322,14,242,5,362,6,391,9,378,18,539,10,613,14,699,15,361,8,479,3,698,18,651,24,454,9,581,29,563,23,1177,22,493,6,249,9,604,18,686,11,856,18,735,8,833,13,945,22,515,7,1343,37,
2020.12.22.00,308,15,237,11,356,9,382,6,360,9,529,10,599,19,684,17,353,7,476,11,680,32,627,9,445,13,552,13,540,9,1155,18,487,17,240,6,586,13,675,8,838,15,727,10,820,12,923,7,508,4,1306,31,
2020.12.21.00,293,29,226,8,347,8,376,9,351,5,519,12,580,18,667,12,346,8,465,7,648,8,618,12,432,13,539,12,531,12,1137,16,470,18,234,13,573,15,667,14,823,17,717,21,808,15,916,13,504,5,1275,13,
2020.12.20.00,264,20,218,5,339,3,367,7,346,4,507,10,562,11,655,8,338,11,458,7,640,9,606,17,419,10,527,16,519,8,1121,30,452,17,221,2,558,13,653,7,806,12,696,6,793,18,903,4,499,7,1262,33,
2020.12.19.00,244,33,213,8,336,7,360,6,342,14,497,20,551,21,647,14,327,4,451,7,631,11,589,18,409,6,511,10,511,8,1091,29,435,13,219,7,545,23,646,12,794,13,690,12,775,12,899,21,492,12,1229,37,
2020.12.18.00,211,16,205,7,329,1,354,6,328,13,477,32,530,18,633,20,323,16,444,2,620,16,571,15,403,15,501,14,503,11,1062,28,422,22,212,5,522,29,634,4,781,16,678,15,763,14,878,29,480,17,1192,207,
2020.12.17.00,195,9,198,9,328,10,348,21,315,7,445,14,512,14,613,9,307,17,442,7,604,8,556,5,388,11,487,31,492,18,1034,24,400,15,207,9,493,36,630,23,765,16,663,14,749,16,849,24,463,20,985,40,
2020.12.16.00,186,10,189,11,318,4,327,15,308,12,431,15,498,12,604,16,290,14,435,13,596,12,551,20,377,10,456,19,474,15,1010,23,385,11,198,11,457,26,607,13,749,9,649,11,733,14,825,21,443,18,945,27,
2020.12.15.00,176,2,178,7,314,2,312,5,296,8,416,7,486,4,588,8,276,12,422,7,584,7,531,14,367,10,437,8,459,6,987,31,374,9,187,4,431,7,594,18,740,16,638,5,719,18,804,13,425,9,918,12,
2020.12.14.00,174,3,171,4,312,4,307,8,288,12,409,6,482,8,580,11,264,7,415,8,577,9,517,7,357,3,429,9,453,8,956,33,365,2,183,8,424,0,576,4,724,13,633,5,701,12,791,8,416,21,906,6,
2020.12.13.00,171,7,167,2,308,10,299,14,276,9,403,14,474,21,569,17,257,4,407,13,568,3,510,14,354,14,420,16,445,17,923,44,363,8,175,10,424,12,572,19,711,21,628,13,689,14,783,28,395,18,900,30,
2020.12.12.00,164,4,165,6,298,2,285,12,267,8,389,6,453,13,552,16,253,10,394,11,565,6,496,13,340,8,404,13,428,14,879,81,355,8,165,8,412,14,553,22,690,12,615,15,675,24,755,11,377,12,870,15,
2020.12.11.00,160,2,159,4,296,8,273,9,259,6,383,9,440,16,536,7,243,3,383,4,559,5,483,11,332,7,391,8,414,16,798,29,347,9,157,3,398,12,531,19,678,15,600,11,651,15,744,8,365,12,855,12,
2020.12.10.00,158,3,155,5,288,6,264,6,253,8,374,11,424,10,529,6,240,8,379,5,554,12,472,12,325,9,383,12,398,6,769,12,338,6,154,5,386,18,512,11,663,13,589,9,636,21,736,12,353,9,843,17,
2020.12.09.00,155,3,150,7,282,5,258,1,245,6,363,12,414,19,523,5,232,5,374,8,542,7,460,15,316,10,371,9,392,14,757,24,332,12,149,1,368,6,501,13,650,19,580,9,615,16,724,10,344,12,826,11,
2020.12.08.00,152,4,143,6,277,7,257,6,239,7,351,3,395,21,518,5,227,4,366,3,535,8,445,11,306,4,362,11,378,10,733,21,320,11,148,3,362,4,488,12,631,18,571,11,599,10,714,2,332,11,815,17,
2020.12.07.00,148,4,137,5,270,8,251,0,232,12,348,7,374,14,513,4,223,8,363,6,527,9,434,13,302,8,351,8,368,9,712,11,309,6,145,4,358,5,476,17,613,14,560,14,589,13,712,16,321,5,798,18,
2020.12.06.00,144,4,132,4,262,7,251,7,220,10,341,8,360,9,509,9,215,3,357,14,518,7,421,5,294,3,343,3,359,11,701,16,303,6,141,3,353,16,459,32,599,8,546,11,576,11,696,12,316,10,780,14,
2020.12.05.00,140,5,128,9,255,8,244,7,210,5,333,4,351,8,500,11,212,3,343,3,511,7,416,22,291,3,340,15,348,9,685,23,297,4,138,5,337,6,427,8,591,9,535,14,565,12,684,11,306,8,766,16,
2020.12.04.00,135,4,119,8,247,4,237,7,205,6,329,8,343,20,489,8,209,5,340,8,504,7,394,14,288,10,325,23,339,8,662,25,293,11,133,8,331,11,419,3,582,16,521,17,553,11,673,26,298,3,750,25,
2020.12.03.00,131,3,111,0,243,8,230,8,199,8,321,9,323,21,481,13,204,2,332,3,497,8,380,10,278,9,302,5,331,9,637,18,282,2,125,0,320,9,416,14,566,10,504,13,542,13,647,23,295,8,725,35,
2020.12.02.00,128,2,111,3,235,8,222,2,191,7,312,9,302,8,468,3,202,2,329,10,489,11,370,8,269,9,297,6,322,9,619,7,280,3,125,0,311,8,402,12,556,7,491,18,529,16,624,14,287,9,690,9,
2020.12.01.00,126,0,108,1,227,3,220,2,184,5,303,1,294,3,465,7,200,4,319,7,478,7,362,3,260,3,291,6,313,10,612,15,277,5,125,2,303,14,390,4,549,7,473,11,513,12,610,7,278,5,681,10,
2020.11.30.00,126,1,107,2,224,4,218,1,179,2,302,3,291,5,458,4,196,8,312,4,471,13,359,8,257,7,285,5,303,11,597,15,272,3,123,6,289,5,386,3,542,7,462,11,501,12,603,5,273,2,671,11,
2020.11.29.00,125,1,105,3,220,2,217,2,177,5,299,5,286,8,454,7,188,2,308,5,458,13,351,4,250,8,280,7,292,10,582,14,269,7,117,2,284,4,383,9,535,3,451,8,489,6,598,6,271,5,660,10,
2020.11.28.00,124,4,102,0,218,7,215,1,172,1,294,5,278,11,447,3,186,1,303,3,445,6,347,5,242,12,273,7,282,17,568,26,262,5,115,3,280,5,374,4,532,10,443,13,483,8,592,10,266,3,650,7,
2020.11.27.00,120,2,102,2,211,6,214,6,171,1,289,5,267,11,444,4,185,1,300,3,439,11,342,2,230,1,266,1,265,14,542,56,257,7,112,4,275,5,370,9,522,8,430,12,475,5,582,10,263,2,643,15,
2020.11.26.00,118,1,100,0,205,4,208,7,170,2,284,4,256,7,440,7,184,5,297,5,428,16,340,4,229,2,265,5,251,12,486,59,250,5,108,1,270,3,361,5,514,1,418,8,470,9,572,16,261,5,628,19,
2020.11.25.00,117,1,100,7,201,7,201,2,168,4,280,1,249,5,433,6,179,4,292,2,412,5,336,4,227,7,260,10,239,6,427,9,245,0,107,1,267,3,356,7,513,4,410,20,461,14,556,6,256,4,609,3,
2020.11.24.00,116,1,93,3,194,10,199,4,164,3,279,4,244,6,427,2,175,0,290,5,407,7,332,1,220,2,250,7,233,2,418,7,245,4,106,1,264,4,349,4,509,3,390,26,447,16,550,5,252,5,606,2,
2020.11.23.00,115,3,90,0,184,2,195,1,161,2,275,0,238,5,425,3,175,1,285,1,400,2,331,9,218,6,243,14,231,3,411,4,241,4,105,0,260,3,345,8,506,2,364,15,431,4,545,9,247,4,604,7,
2020.11.22.00,112,3,90,0,182,1,194,4,159,0,275,8,233,3,422,5,174,2,284,0,398,4,322,7,212,8,229,6,228,6,407,2,237,1,105,0,257,2,337,9,504,3,349,13,427,9,536,15,243,6,597,4,
2020.11.21.00,109,2,90,1,181,4,190,3,159,3,267,7,230,1,417,4,172,1,284,4,394,4,315,4,204,12,223,6,222,6,405,5,236,5,105,1,255,9,328,19,501,4,336,16,418,12,521,9,237,4,593,10,
2020.11.20.00,107,3,89,5,177,6,187,2,156,2,260,12,229,3,413,8,171,3,280,8,390,7,311,3,192,4,217,3,216,3,400,7,231,2,104,0,246,5,309,6,497,1,320,18,406,4,512,11,233,2,583,4,
2020.11.19.00,104,1,84,1,171,1,185,5,154,1,248,2,226,0,405,7,168,1,272,11,383,9,308,4,188,5,214,4,213,1,393,3,229,1,104,1,241,7,303,7,496,1,302,9,402,6,501,8,231,6,579,7,
2020.11.18.00,103,1,83,2,170,1,180,6,153,2,246,4,226,2,398,7,167,1,261,6,374,3,304,3,183,0,210,2,212,2,390,12,228,3,103,0,234,3,296,7,495,0,293,8,396,4,493,6,225,1,572,6,
2020.11.17.00,102,2,81,1,169,0,174,3,151,1,242,4,224,1,391,5,166,1,255,7,371,4,301,2,183,5,208,6,210,4,378,4,225,6,103,1,231,2,289,2,495,1,285,10,392,0,487,10,224,3,566,13,
2020.11.16.00,100,0,80,0,169,0,171,3,150,0,238,1,223,3,386,6,165,2,248,4,367,4,299,3,178,1,202,1,206,3,374,9,219,3,102,0,229,2,287,3,494,1,275,3,392,2,477,12,221,0,553,5,
2020.11.15.00,100,2,80,3,169,1,168,1,150,0,237,2,220,3,380,6,163,0,244,1,363,11,296,2,177,6,201,2,203,1,365,9,216,4,102,0,227,0,284,2,493,0,272,4,390,2,465,12,221,5,548,6,
2020.11.14.00,98,0,77,4,168,3,167,0,150,1,235,17,217,1,374,4,163,2,243,0,352,5,294,3,171,2,199,1,202,0,356,9,212,1,102,0,227,1,282,4,493,2,268,2,388,2,453,2,216,0,542,3,
2020.11.13.00,98,0,73,1,165,1,167,2,149,1,218,11,216,4,370,2,161,0,243,3,347,6,291,4,169,1,198,3,202,1,347,7,211,1,102,2,226,1,278,1,491,2,266,4,386,3,451,4,216,1,539,8,
2020.11.12.00,98,0,72,4,164,4,165,2,148,0,207,7,212,0,368,3,161,0,240,4,341,3,287,0,168,2,195,2,201,0,340,2,210,0,100,1,225,1,277,0,489,1,262,1,383,5,447,4,215,1,531,6,
2020.11.11.00,98,0,68,1,160,2,163,0,148,1,200,1,212,1,365,1,161,0,236,0,338,1,287,1,166,1,193,2,201,1,338,5,210,0,99,0,224,0,277,0,488,0,261,4,378,1,443,4,214,1,525,16,
2020.11.10.00,98,0,67,0,158,0,163,0,147,1,199,2,211,1,364,0,161,0,236,3,337,0,286,2,165,0,191,0,200,0,333,7,210,0,99,0,224,0,277,1,488,2,257,6,377,2,439,2,213,2,509,5,
2020.11.09.00,98,0,67,0,158,7,163,5,146,0,197,2,210,0,364,0,161,0,233,1,337,0,284,2,165,3,191,1,200,2,326,4,210,0,99,0,224,1,276,3,486,0,251,5,375,1,437,4,211,1,504,3,
2020.11.08.00,98,0,67,0,151,1,158,8,146,0,195,5,210,0,364,3,161,2,232,0,337,0,282,1,162,9,190,0,198,0,322,4,210,0,99,1,223,6,273,2,486,0,246,1,374,3,433,2,210,3,501,4,
2020.11.07.00,98,0,67,2,150,0,150,6,146,2,190,2,210,0,361,3,159,0,232,1,337,0,281,2,153,3,190,1,198,0,318,3,210,0,98,0,217,0,271,1,486,3,245,3,371,3,431,0,207,0,497,2,
2020.11.06.00,98,0,65,0,150,1,144,0,144,0,188,4,210,0,358,3,159,0,231,1,337,1,279,4,150,1,189,0,198,3,315,1,210,0,98,0,217,3,270,0,483,5,242,0,368,3,431,8,207,0,495,2,
2020.11.05.00,98,0,65,0,149,1,144,1,144,3,184,2,210,1,355,1,159,0,230,0,336,0,275,3,149,5,189,0,195,1,314,2,210,0,98,0,214,2,270,3,478,1,242,4,365,2,423,9,207,1,493,7,
2020.11.04.00,98,1,65,0,148,1,143,4,141,0,182,4,209,0,354,1,159,0,230,0,336,1,272,2,144,7,189,0,194,0,312,2,210,1,98,0,212,2,267,1,477,1,238,1,363,2,414,6,206,1,486,5,
2020.11.03.00,97,2,65,0,147,1,139,1,141,0,178,0,209,0,353,0,159,0,230,0,335,0,270,0,137,0,189,0,194,1,310,0,209,4,98,0,210,2,266,2,476,1,237,1,361,2,408,3,205,0,481,2,
2020.11.02.00,95,0,65,0,146,2,138,0,141,0,178,2,209,0,353,2,159,0,230,2,335,1,270,0,137,0,189,1,193,0,310,3,205,0,98,0,208,0,264,0,475,0,236,2,359,2,405,5,205,1,479,2,
2020.11.01.00,95,0,65,0,144,1,138,1,141,1,176,0,209,0,351,0,159,0,228,0,334,1,270,3,137,0,188,1,193,0,307,1,205,2,98,0,208,1,264,2,475,2,234,5,357,14,400,9,204,0,477,1,
2020.10.31.00,95,0,65,1,143,0,137,2,140,1,176,3,209,1,351,3,159,0,228,0,333,1,267,2,137,0,187,1,193,3,306,2,203,2,98,0,207,2,262,0,473,4,229,2,343,8,391,1,204,1,476,6,
2020.10.30.00,95,0,64,0,143,0,135,2,139,2,173,0,208,0,348,0,159,3,228,3,332,1,265,0,137,0,186,3,190,2,304,3,201,0,98,0,205,0,262,2,469,3,227,4,335,11,390,8,203,1,470,2,
2020.10.29.00,95,0,64,1,143,1,133,0,137,0,173,0,208,1,348,0,156,0,225,1,331,4,265,1,137,0,183,0,188,1,301,1,201,0,98,1,205,0,260,0,466,3,223,3,324,7,382,5,202,0,468,3,
2020.10.28.00,95,1,63,0,142,0,133,2,137,1,173,0,207,1,348,1,156,0,224,1,327,0,264,1,137,0,183,0,187,0,300,0,201,0,97,0,205,0,260,0,463,4,220,2,317,8,377,4,202,1,465,4,
2020.10.27.00,94,0,63,0,142,0,131,1,136,0,173,1,206,2,347,0,156,0,223,0,327,1,263,1,137,0,183,0,187,0,300,0,201,0,97,1,205,0,260,0,459,3,218,1,309,4,373,4,201,1,461,0,
